250.093,0.263
250.347,0.272
250.593,0.272
250.601,0.261
250.855,0.266
250.894,0.266
251.002,0.266
251.109,0.281
251.363,0.275
251.617,0.277
251.872,0.271
252.126,0.282
252.38,0.292
252.634,0.306
252.888,0.303
252.937,0.303
252.992,0.303
253.019,0.303
253.142,0.325
253.327,0.325
253.396,0.309
253.65,0.325
253.904,0.31
253.973,0.31
254.159,0.33
254.413,0.329
254.667,0.338
254.922,0.326
255.176,0.339
255.431,0.339
255.685,0.355
255.939,0.348
256.153,0.348
256.194,0.354
256.448,0.354
256.47,0.354
256.58,0.354
256.702,0.365
256.957,0.37
257.105,0.37
257.188,0.37
257.211,0.368
257.465,0.377
257.72,0.372
257.974,0.381
258.228,0.374
258.483,0.398
258.737,0.4
258.992,0.401
259.246,0.405
259.399,0.405
259.5,0.423
259.755,0.44
259.808,0.44
260.009,0.431
260.263,0.421
260.518,0.433
260.772,0.435
261.026,0.447
261.148,0.447
261.281,0.439
261.43,0.439
261.535,0.439
261.789,0.464
262.009,0.464
262.037,0.464
262.044,0.471
262.298,0.468
262.553,0.495
262.646,0.495
262.807,0.479
263.061,0.488
263.152,0.488
263.316,0.495
263.57,0.495
263.824,0.523
263.853,0.523
264.079,0.513
264.191,0.513
264.333,0.518
264.587,0.522
264.842,0.527
265.096,0.547
265.1,0.547
265.351,0.554
265.605,0.549
265.668,0.549
265.859,0.539
266.114,0.566
266.368,0.566
266.622,0.552
266.877,0.579
267.131,0.571
267.385,0.576
267.64,0.599
267.715,0.599
267.894,0.607
268.064,0.607
268.148,0.599
268.403,0.602
268.657,0.615
268.853,0.615
268.912,0.632
269.166,0.66
269.205,0.66
269.42,0.645
269.675,0.632
269.793,0.632
269.929,0.648
270.001,0.648
270.183,0.64
270.236,0.64
270.438,0.654
270.692,0.674
270.802,0.674
270.946,0.66
271.201,0.694
271.455,0.7
271.709,0.706
271.964,0.691
272.028,0.691
272.147,0.691
272.218,0.718
272.473,0.701
272.692,0.701
272.727,0.742
272.981,0.742
273.236,0.73
273.265,0.73
273.49,0.737
273.744,0.764
273.999,0.746
274.253,0.755
274.507,0.759
274.762,0.739
274.853,0.739
275.016,0.751
275.271,0.794
275.314,0.794
275.525,0.794
275.655,0.794
275.721,0.794
275.779,0.791
276.034,0.789
276.238,0.789
276.288,0.778
276.542,0.834
276.797,0.828
276.836,0.828
277.051,0.813
277.305,0.832
277.364,0.832
277.56,0.848
277.681,0.848
277.772,0.848
277.814,0.846
277.954,0.846
278.068,0.831
278.323,0.844
278.577,0.845
278.819,0.845
278.832,0.858
278.912,0.858
279.086,0.888
279.34,0.888
279.595,0.876
279.646,0.876
279.849,0.859
279.862,0.859
280.103,0.875
280.358,0.88
280.612,0.899
280.726,0.899
280.866,0.894
280.959,0.894
281.121,0.899
281.299,0.899
281.375,0.919
281.629,0.917
281.673,0.917
281.884,0.912
282.138,0.929
282.19,0.929
282.393,0.956
282.647,0.941
